Note,Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0.0,0,.,x,x,.
B♭4,2.0,3/2,x,1,1,0
G♭5,0.5,3/2,x,1,1,0
F5,1.5,3/2,x,1,1,0
E♭5,0.5,3/2,x,1,1,0
D♭5,1.5,3/2,x,1,1,0
C5,0.0,3/2,x,1,2,0
B♭4,4.0,3/2,x,1,2,0
0,2.0,3/2,.,1,2,0
A4,2.0,3/2,x,1,3,0
F5,0.5,3/2,x,1,3,0
E♭5,1.5,3/2,x,1,3,0
D♭5,0.5,3/2,x,1,3,0
C5,1.5,3/2,x,1,3,0
F4,4.0,3/2,x,1,4,0
0,2.0,3/2,.,1,4,0
0,0.0,0,.,x,x,.
B♭5,0.5,3/4,x,2,5,0
F5,0.5,3/4,x,2,5,0
F5,0.5,3/4,x,2,5,0
F5,0.5,3/4,x,2,5,0
F5,0.25,3/4,x,2,5,0
G♭5,0.25,3/4,x,2,5,0
E♭5,0.25,3/4,x,2,5,0
F5,0.25,3/4,x,2,5,0
G♭5,0.5,3/4,x,2,6,0
E♭5,0.5,3/4,x,2,6,0
E♭5,0.5,3/4,x,2,6,0
E♭5,0.5,3/4,x,2,6,0
E♭5,0.25,3/4,x,2,6,0
F5,0.25,3/4,x,2,6,0
G♭5,0.25,3/4,x,2,6,0
E♭5,0.25,3/4,x,2,6,0
F5,0.5,3/4,x,2,7,0
F4,0.5,3/4,x,2,7,0
E♭5,0.5,3/4,x,2,7,0
F4,0.5,3/4,x,2,7,0
C6,0.5,3/4,x,2,7,0
D♭5,0.25,3/4,x,2,7,0
C5,0.25,3/4,x,2,7,0
D♭5,0.5,3/4,x,2,8,0
B♭4,0.5,3/4,x,2,8,0
F5,0.5,3/4,x,2,8,0
B♭4,0.5,3/4,B,2,8,0
B♭5,0.5,3/4,x,2,8,0
B♭4,0.5,3/4,B,2,8,0
D♭6,0.5,3/4,x,2,9,0
B♭4,0.25,3/4,B,2,9,0
C5,0.25,3/4,B,2,9,0
D♭5,0.5,3/4,x,2,9,0
C5,0.5,3/4,x,2,9,0
B♭4,0.5,3/4,x,2,9,0
A♭4,0.5,3/4,x,2,9,0
G4,0.5,3/4,B,2,10,0
B♭5,0.5,3/4,x,2,10,0
0,0.5,3/4,.,2,10,0
E♭5,0.5,3/4,x,2,10,0
B♭5,0.5,3/4,x,2,10,0
D♭5,0.5,3/4,x,2,10,0
C5,0.5,3/4,x,2,11,0
A♭4,0.5,3/4,x,2,11,0
E♭5,0.5,3/4,x,2,11,0
A♭4,0.5,3/4,x,2,11,0
A♭5,0.5,3/4,x,2,11,0
A♭4,0.5,3/4,B,2,11,0
C6,0.5,3/4,x,2,12,0
A♭4,0.25,3/4,B,2,12,0
B♭4,0.25,3/4,B,2,12,0
C5,0.5,3/4,x,2,12,0
B♭4,0.5,3/4,x,2,12,0
A♭4,0.5,3/4,x,2,12,0
G4,0.5,3/4,x,2,12,0
F4,0.5,3/4,x,2,13,0
A♭5,0.5,3/4,x,2,13,0
0,0.5,3/4,.,2,13,0
D♭5,0.5,3/4,x,2,13,0
A♭5,0.5,3/4,x,2,13,0
C5,0.5,3/4,x,2,13,0
B♭4,0.5,3/4,x,2,14,0
G4,0.5,3/4,x,2,14,0
D♭5,0.5,3/4,x,2,14,0
G4,0.5,3/4,x,2,14,0
G5,0.5,3/4,x,2,14,0
G4,0.5,3/4,B,2,14,0
B♭5,0.5,3/4,x,2,15,0
G4,0.25,3/4,B,2,15,0
A♭4,0.25,3/4,B,2,15,0
B♭4,0.5,3/4,x,2,15,0
A♭4,0.5,3/4,x,2,15,0
G4,0.5,3/4,x,2,15,0
F4,0.5,3/4,x,2,15,0
C5,0.5,3/4,b,2,16,0
E5,0.25,3/4,x,2,16,0
G5,0.25,3/4,u,2,16,0
C5,0.5,3/4,b,2,16,0
F5,0.25,3/4,x,2,16,0
A♭5,0.25,3/4,u,2,16,0
C5,0.5,3/4,b,2,16,0
G5,0.25,3/4,x,2,16,0
B♭5,0.25,3/4,u,2,16,0
C5,0.5,3/4,b,2,17,0
A♭5,0.25,3/4,x,2,17,0
C6,0.25,3/4,u,2,17,0
C5,0.5,3/4,b,2,17,0
G5,0.25,3/4,x,2,17,0
B♭5,0.25,3/4,u,2,17,0
C5,0.5,3/4,b,2,17,0
F5,0.25,3/4,x,2,17,0
A♭5,0.25,3/4,u,2,17,0
C5,0.5,3/4,b,2,18,0
E5,0.25,3/4,x,2,18,0
G5,0.25,3/4,u,2,18,0
C5,1.0,3/4,b,2,18,0
0,1.0,3/4,.,2,18,0
C6,0.25,3/4,x,2,19,0
B♭5,0.25,3/4,x,2,19,0
A♭5,0.25,3/4,x,2,19,0
G5,0.25,3/4,x,2,19,0
F5,0.5,3/4,x,2,19,0
A♭4,0.5,3/4,B,2,19,0
B♭4,0.5,3/4,B,2,19,0
G4,0.5,3/4,B,2,19,0
C6,0.25,3/4,x,2,20,0
B♭5,0.25,3/4,x,2,20,0
A♭5,0.25,3/4,x,2,20,0
G5,0.25,3/4,x,2,20,0
F5,0.5,3/4,x,2,20,0
B♭4,0.5,3/4,x,2,20,0
C5,0.5,3/4,x,2,20,0
A♭4,0.5,3/4,x,2,20,0
D♭6,0.25,3/4,x,2,21,0
C6,0.25,3/4,x,2,21,0
B♭5,0.25,3/4,x,2,21,0
A♭5,0.25,3/4,x,2,21,0
G5,0.25,3/4,x,2,21,0
A♭5,0.25,3/4,x,2,21,0
B♭5,0.25,3/4,x,2,21,0
C6,0.25,3/4,x,2,21,0
B♭5,0.25,3/4,x,2,21,0
A♭5,0.25,3/4,x,2,21,0
G5,0.25,3/4,x,2,21,0
F5,0.25,3/4,x,2,21,0
E5,0.25,3/4,x,2,22,0
F5,0.25,3/4,x,2,22,0
G5,0.25,3/4,x,2,22,0
A♭5,0.25,3/4,x,2,22,0
G5,0.25,3/4,x,2,22,0
F5,0.25,3/4,x,2,22,0
E5,0.25,3/4,x,2,22,0
D5,0.25,3/4,x,2,22,0
C5,0.25,3/4,x,2,22,0
B♭4,0.25,3/4,x,2,22,0
A♭4,0.25,3/4,x,2,22,0
G4,0.25,3/4,x,2,22,0
A♭4,0.5,3/4,B,2,23,0
C6,0.5,3/4,u,2,23,0
B♭4,0.5,3/4,B,2,23,0
F5,0.5,3/4,u,2,23,0
C5,0.5,3/4,b,2,23,0
E5,0.5,3/4,u,2,23,0
F5,0.5,3/4,u,2,24,0
C5,0.5,3/4,b,2,24,0
F4,1.0,3/4,b,2,24,0
0,1.0,3/4,.,2,24,0
0,0.0,0,.,x,x,.
F5,2.0,3/2,x,3,25,0
D♭6,0.5,3/2,x,3,25,0
C6,1.5,3/2,x,3,25,0
B♭5,0.5,3/2,x,3,25,0
A♭5,1.5,3/2,x,3,25,0
G5,0.0,3/2,x,3,26,0
F5,4.0,3/2,x,3,26,0
0,2.0,3/2,.,3,26,0
E5,2.0,3/2,x,3,27,0
C6,0.5,3/2,x,3,27,0
B♭5,1.5,3/2,x,3,27,0
A♭5,0.5,3/2,x,3,27,0
G5,1.5,3/2,x,3,27,0
C5,4.0,3/2,x,3,28,0
0,2.0,3/2,.,3,28,0
0,0.0,0,.,x,x,.
F6,0.5,3/4,x,4,29,0
C6,0.5,3/4,x,4,29,0
C6,0.5,3/4,x,4,29,0
C6,0.5,3/4,x,4,29,0
C6,0.25,3/4,x,4,29,0
D♭6,0.25,3/4,x,4,29,0
B♭5,0.25,3/4,x,4,29,0
C6,0.25,3/4,x,4,29,0
D♭6,0.5,3/4,x,4,30,0
B♭5,0.5,3/4,x,4,30,0
B♭5,0.5,3/4,x,4,30,0
B♭5,0.5,3/4,x,4,30,0
B♭5,0.25,3/4,x,4,30,0
C6,0.25,3/4,x,4,30,0
D♭6,0.25,3/4,x,4,30,0
B♭5,0.25,3/4,x,4,30,0
C6,0.5,3/4,x,4,31,0
C5,0.5,3/4,B,4,31,0
B♭5,0.5,3/4,x,4,31,0
C5,0.5,3/4,B,4,31,0
G6,0.5,3/4,x,4,31,0
A♭5,0.25,3/4,x,4,31,0
G5,0.25,3/4,x,4,31,0
A♭5,0.5,3/4,x,4,32,0
F5,0.5,3/4,x,4,32,0
C6,0.5,3/4,x,4,32,0
B♭5,0.5,3/4,x,4,32,0
A5,0.5,3/4,x,4,32,0
F5,0.5,3/4,x,4,32,0
D5,0.25,3/4,x,4,33,0
C5,0.25,3/4,x,4,33,0
B♭4,0.25,3/4,x,4,33,0
C5,0.25,3/4,x,4,33,0
D5,0.25,3/4,x,4,33,0
E♭5,0.25,3/4,x,4,33,0
F5,0.25,3/4,x,4,33,0
G♭5,0.25,3/4,x,4,33,0
A♭5,1.0,3/4,x,4,33,0
G♭5,0.5,3/4,x,4,34,0
E♭5,0.5,3/4,x,4,34,0
B♭5,0.5,3/4,x,4,34,0
A♭5,0.5,3/4,x,4,34,0
G5,0.5,3/4,x,4,34,0
D♭5,0.5,3/4,x,4,34,0
C5,0.25,3/4,x,4,35,0
B♭4,0.25,3/4,x,4,35,0
A♭4,0.25,3/4,x,4,35,0
B♭4,0.25,3/4,x,4,35,0
C5,0.25,3/4,x,4,35,0
D♭5,0.25,3/4,x,4,35,0
E♭5,0.25,3/4,x,4,35,0
F5,0.25,3/4,x,4,35,0
G♭5,1.0,3/4,x,4,35,0
F5,0.5,3/4,u,4,36,0
D♭5,0.5,3/4,b,4,36,0
G♭5,0.5,3/4,u,4,36,0
B♭4,0.5,3/4,b,4,36,0
A♭5,0.5,3/4,u,4,36,0
F4,0.5,3/4,B,4,36,0
B♭5,0.5,3/4,u,4,37,0
G♭4,0.5,3/4,B,4,37,0
A♭5,0.5,3/4,u,4,37,0
F4,0.5,3/4,B,4,37,0
B♭5,0.5,3/4,u,4,37,0
G♭4,0.5,3/4,B,4,37,0
A♭5,0.5,3/4,u,4,38,0
F5,0.5,3/4,x,4,38,0
B♭5,0.5,3/4,u,4,38,0
G♭4,0.5,3/4,B,4,38,0
C6,0.5,3/4,u,4,38,0
A♭4,0.5,3/4,B,4,38,0
D♭6,0.5,3/4,u,4,39,0
B♭4,0.5,3/4,B,4,39,0
C6,0.5,3/4,u,4,39,0
A♭4,0.5,3/4,B,4,39,0
D♭6,0.5,3/4,u,4,39,0
B♭4,0.5,3/4,B,4,39,0
E♭5,0.5,3/4,b,4,40,0
G♭5,0.25,3/4,x,4,40,0
A♭5,0.25,3/4,x,4,40,0
B♭5,0.5,3/4,x,4,40,0
G♭5,0.5,3/4,x,4,40,0
F5,0.5,3/4,x,4,40,0
G♭5,0.5,3/4,x,4,40,0
D♭5,0.5,3/4,b,4,41,0
G♭5,0.25,3/4,x,4,41,0
A♭5,0.25,3/4,x,4,41,0
B♭5,0.5,3/4,x,4,41,0
G♭5,0.5,3/4,x,4,41,0
F5,0.5,3/4,x,4,41,0
G♭5,0.5,3/4,x,4,41,0
C5,0.5,3/4,b,4,42,0
G♭5,0.25,3/4,x,4,42,0
A♭5,0.25,3/4,x,4,42,0
B♭5,0.5,3/4,x,4,42,0
