bar,onset
1,76.62739229024943
2,77.62739229024943
3,78.90603174603174
4,80.34721088435374
5,81.53297052154194
6,82.69551020408163
7,83.69551020408163
8,84.7651700680272
9,85.78839002267574
10,87.020589569161
11,87.97414965986395
12,88.92770975056689
13,90.04380952380953
14,90.99736961451248
15,92.15990929705217
16,93.1134693877551
17,94.1134693877551
18,95.18312925170068
19,96.25278911564625
20,97.25278911564625
21,98.13668934240363
22,99.13668934240363
23,100.13668934240363
24,101.36888888888889
25,102.53142857142856
26,103.62430839002266
27,104.67074829931973
28,105.74040816326531
29,106.8780045351474
30,108.32090702947846
31,109.29768707482994
32,110.39056689342404
33,111.43700680272109
34,112.39056689342404
35,113.43700680272109
36,114.46022675736961
37,115.46022675736961
38,116.46022675736961
39,117.46022675736961
40,118.46022675736961
41,119.46022675736961
42,122.5035827664399
