time,label
0.0,1
2.7412775000000003,2
5.5319735,3
8.3226695,4
11.113365499999997,5
13.904061499999994,6
16.69475749999999,7
19.485453499999988,8
22.276149499999985,9
25.06684549999998,10
27.85754149999998,11
30.648237499999976,12
33.438933499999976,13
36.22962949999997,14
39.02032549999997,15
41.81102149999997,16
44.601717499999964,17
47.39241349999996,18
50.18310949999996,19
52.973805499999955,20
55.76450149999995,21
58.55519749999995,22
61.86914937499994,23
64.65984537499995,24
67.45054137499997,25
70.241237375,26
73.03193337500002,27
75.82262937500005,28
78.61332537500007,29
81.4040213750001,30
84.19471737500012,31
86.98541337500015,32
89.77610937500017,33
92.5668053750002,34
95.35750137500023,35
98.14819737500025,36
100.93889337500028,37
103.7295893750003,38
106.52028537500033,39
109.31098137500035,40
112.10167737500038,41
114.89237337500118,42
